time,wx,wy,wz
12.846463203430176,-0.37,-0.09,-0.44
12.856572151184082,-0.38,-0.17,-0.53
12.866297245025635,-0.36,-0.14,-0.63
12.876081943511963,-0.3,0.03,-0.74
12.88598918914795,-0.24,0.33,-0.83
12.895913124084473,-0.18,0.73,-0.9
12.90579104423523,-0.07,1.15,-0.96
12.920490264892578,0.1,1.51,-1.0
12.927738189697266,0.36,1.69,-0.96
12.935725212097168,0.83,1.56,-0.84
12.9461350440979,1.47,1.06,-0.57
12.955698013305664,1.69,0.51,-0.13
12.965338230133057,1.18,0.03,0.43
12.975457191467285,0.25,-0.24,0.92
12.985136032104492,-0.64,-0.1,1.37
12.995383262634277,-1.03,0.06,1.7
13.005283117294312,-0.95,0.1,1.65
13.015655040740967,-0.6,0.26,1.12
13.029003143310547,-0.1,0.65,0.45
13.036444187164307,0.43,0.84,0.28
13.044939041137695,0.84,0.61,0.17
13.054774045944214,0.88,-0.13,-0.25
13.064799070358276,0.41,-0.71,-0.81
13.074499130249023,-0.38,-0.51,-1.29
13.084309101104736,-1.18,0.17,-1.35
13.09508204460144,-1.67,0.65,-0.88
13.104104042053223,-1.73,0.67,-0.18
13.114512920379639,-1.44,0.42,0.03
13.128262996673584,-1.09,0.21,0.0
13.135817050933838,-0.91,0.25,-0.11
13.14392900466919,-0.75,0.34,-0.23
13.154194116592407,-0.52,0.19,-0.26
13.163808107376099,-0.31,-0.18,-0.35
13.173651218414307,-0.16,-0.71,-0.5
13.183427095413208,-0.13,-1.12,-0.63
13.193800926208496,-0.23,-1.35,-0.7
13.203596115112305,-0.46,-1.42,-0.65
13.213788032531738,-0.61,-1.5,-0.57
13.227659225463867,-0.62,-1.68,-0.49
13.235122203826904,-0.51,-1.9,-0.44
13.243405103683472,-0.37,-2.09,-0.41
13.253160953521729,-0.31,-2.28,-0.38
13.263000965118408,-0.32,-2.44,-0.37
13.272699117660522,-0.37,-2.53,-0.4
13.282588958740234,-0.42,-2.5,-0.43
13.292626142501831,-0.48,-2.45,-0.46
13.302561044692993,-0.51,-2.4,-0.5
13.312945127487183,-0.53,-2.33,-0.55
13.327335119247437,-0.55,-2.21,-0.58
13.334342002868652,-0.56,-2.02,-0.58
13.344100952148438,-0.59,-1.81,-0.56
13.35217809677124,-0.65,-1.61,-0.56
13.363050937652588,-0.72,-1.48,-0.57
13.372420072555542,-0.82,-1.42,-0.58
13.38197112083435,-0.9,-1.38,-0.57
13.391822099685669,-0.89,-1.21,-0.52
13.40175724029541,-0.83,-0.93,-0.41
13.411709070205688,-0.84,-0.68,-0.27
13.426677227020264,-0.89,-0.57,-0.12
13.433770179748535,-0.96,-0.51,0.01
13.441813945770264,-1.04,-0.48,0.12
13.451308250427246,-1.06,-0.42,0.18
